"PROVINCIA","PORCENTAJEANALFABETISMO","POBLACIONTOTAL","PORCENTAJELENGUA","PORCENTAJENBI","Porcentaje Mujer","Porcentaje Hombre","Rural porcentaje","Urbano porcentaje","SIN WIFI","CON WIFI","UBIGEO","Departamento"
"HUANCANE",17.9403154530101,57651,83.327262319821,25.7584723371057,0.483530207628662,0.516469792371338,0.884070796460177,0.115929203539823,0.0134850400337126,0.986514959966287,"2106","PUNO"
"HUANCAVELICA",16.9235683270601,115054,53.584403845151,27.5371187077276,0.480183218314878,0.519816781685122,0.480950098843827,0.519049901156173,0.108278919307494,0.891721080692506,"0901","HUANCAVELICA"
"HUANCAYO",10.7497890309776,545615,16.1194248691843,20.2760405574712,0.471895017549004,0.528104982450996,0.0853371207847458,0.914662879215254,0.268203327736223,0.731796672263777,"1201","JUNIN"
"HUANTA",22.9126733253298,89466,59.5835289383676,33.0278498415801,0.489783828493506,0.510216171506494,0.530785155650974,0.469214844349026,0.0649440269897255,0.935055973010275,"0504","AYACUCHO"
"HUANUCO",19.4845825768191,293397,22.1536007525639,25.6483746620396,0.490291311772104,0.509708688227896,0.311812778603269,0.688187221396731,0.174529470034671,0.825470529965329,"1001","HUANUCO"
"HUARAL",4.56009468706442,183898,12.5857812483007,35.6214775647713,0.503654199610654,0.496345800389346,0.140602812056241,0.859397187943759,0.275565511310226,0.724434488689774,"1506","LIMA"
"HUARAZ",13.9722599792836,163936,37.0577542455592,25.6146588578325,0.488599209447589,0.511400790552411,0.270722532105331,0.729277467894669,0.257188567475245,0.742811432524755,"0201","ANCASH"
"HUARI",17.2118289355397,58714,71.1074019824914,29.5116115297476,0.520591341077085,0.479408658922914,0.772220178987373,0.227779821012627,0.0264190266029177,0.973580973397082,"0210","ANCASH"
"HUAROCHIRI",3.41835083034646,58145,8.95519821136813,32.3455371961272,0.51964915297962,0.48035084702038,0.576940717807591,0.423059282192409,0.116443068455452,0.883556931544548,"1507","LIMA"
"HUAURA",5.31669132584974,227685,7.8696444649406,26.7997678498267,0.499721105913872,0.500278894086128,0.113913864343305,0.886086135656695,0.307448273727541,0.692551726272459,"1508","LIMA"
"HUAYLAS",12.5354985215492,51334,53.5570966610823,27.1145013178739,0.490591031285308,0.509408968714692,0.712524983344437,0.287475016655563,0.0896069287141905,0.910393071285809,"0212","ANCASH"
"HUAYTARA",11.6426280884284,17247,34.6495042616107,38.2831321028676,0.504667478402041,0.495332521597959,1,0,0.00607810363166692,0.993921896368333,"0906","HUANCAVELICA"
"ICA",3.00907304796919,391519,7.95925612805509,21.9660301112204,0.491467847026581,0.508532152973419,0.0591888628713596,0.94081113712864,0.326430557588175,0.673569442411825,"1101","ICA"
"ILO",1.60140516962797,74649,15.8341036048708,24.0762689031252,0.495773553564013,0.504226446435987,0.00252153813826434,0.997478461861736,0.317713805421307,0.682286194578693,"1803","MOQUEGUA"
